 Monthly_Income , Total_outstanding_loans ,Defaulter
" $1,504.00 "," $372,636.00 ",YES
" $1,508.00 "," $50,952.00 ",NO
" $1,510.00 "," $226,365.00 ",NO
" $1,512.00 "," $476,681.00 ",YES
" $1,513.00 "," $256,025.00 ",YES
" $1,518.00 "," $115,782.00 ",NO
" $1,524.00 "," $131,184.00 ",NO
" $1,526.00 "," $121,974.00 ",NO
" $1,526.00 "," $272,269.00 ",YES
" $1,529.00 "," $392,631.00 ",YES
" $1,530.00 "," $98,454.00 ",NO
" $1,531.00 "," $210,302.00 ",NO
" $1,531.00 "," $387,635.00 ",YES
" $1,534.00 "," $435,872.00 ",YES
" $1,534.00 "," $497,851.00 ",YES
" $1,536.00 "," $119,362.00 ",NO
" $1,538.00 "," $87,114.00 ",NO
" $1,541.00 "," $155,857.00 ",NO
" $1,542.00 "," $385,166.00 ",YES
" $1,544.00 "," $458,573.00 ",YES
" $1,546.00 "," $356,795.00 ",YES
" $1,551.00 "," $200,392.00 ",NO
" $1,554.00 "," $56,442.00 ",NO
" $1,555.00 "," $364,270.00 ",YES
" $1,556.00 "," $257,439.00 ",YES
" $1,565.00 "," $220,361.00 ",NO
" $1,567.00 "," $415,957.00 ",YES
" $1,569.00 "," $206,531.00 ",NO
" $1,572.00 "," $39,299.00 ",NO
" $1,587.00 "," $268,565.00 ",YES
" $1,588.00 "," $53,165.00 ",NO
" $1,590.00 "," $132,578.00 ",NO
" $1,592.00 "," $246,205.00 ",NO
" $1,592.00 "," $259,535.00 ",YES
" $1,597.00 "," $81,048.00 ",NO
" $1,603.00 "," $214,091.00 ",NO
" $1,606.00 "," $330,329.00 ",YES
" $1,607.00 "," $235,885.00 ",NO
" $1,609.00 "," $385,582.00 ",YES
" $1,611.00 "," $347,647.00 ",YES
" $1,614.00 "," $82,692.00 ",NO
" $1,615.00 "," $297,048.00 ",YES
" $1,617.00 "," $280,577.00 ",YES
" $1,617.00 "," $192,579.00 ",NO
" $1,617.00 "," $172,170.00 ",NO
" $1,618.00 "," $276,244.00 ",YES
" $1,623.00 "," $302,698.00 ",YES
" $1,624.00 "," $432,082.00 ",YES
" $1,628.00 "," $231,925.00 ",NO
" $1,629.00 "," $411,695.00 ",YES
" $1,629.00 "," $30,455.00 ",NO
" $1,632.00 "," $197,227.00 ",NO
" $1,635.00 "," $487,610.00 ",YES
" $1,636.00 "," $292,016.00 ",YES
" $1,640.00 "," $141,364.00 ",NO
" $1,640.00 "," $422,808.00 ",YES
" $1,644.00 "," $323,048.00 ",YES
" $1,644.00 "," $293,703.00 ",YES
" $1,645.00 "," $226,224.00 ",NO
" $1,648.00 "," $51,619.00 ",NO
" $1,654.00 "," $152,082.00 ",NO
" $1,655.00 "," $78,816.00 ",NO
" $1,657.00 "," $230,339.00 ",NO
" $1,659.00 "," $382,897.00 ",YES
" $1,668.00 "," $137,393.00 ",NO
" $1,669.00 "," $185,710.00 ",NO
" $1,671.00 "," $345,733.00 ",YES
" $1,673.00 "," $235,415.00 ",NO
" $1,676.00 "," $278,291.00 ",YES
" $1,676.00 "," $183,865.00 ",NO
" $1,677.00 "," $424,401.00 ",YES
" $1,677.00 "," $394,033.00 ",YES
" $1,677.00 "," $494,304.00 ",YES
" $1,685.00 "," $159,185.00 ",NO
" $1,685.00 "," $369,070.00 ",YES
" $1,702.00 "," $136,422.00 ",NO
" $1,704.00 "," $189,880.00 ",NO
" $1,704.00 "," $188,064.00 ",NO
" $1,709.00 "," $258,633.00 ",YES
" $1,712.00 "," $250,456.00 ",NO
